BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
CYP26B1	10	11	2	7	17	4	5	8	4	6	12	0
ICA1	4685	5185	3208	2766	3244	2896	4265	1935	4240	3395	3100	2608
DBNDD1	156	205	97	98	144	113	130	82	141	126	127	86
ALS2	1547	1642	1024	1092	1072	1010	1210	712	1479	1023	1157	918
CASP10	187	204	106	135	170	118	197	112	194	194	134	140
CFLAR	744	814	636	500	666	797	676	430	862	651	625	538
TFPI	1149	1433	1157	1013	1040	1711	2575	810	1495	1180	1165	820
NDUFAF7	984	1047	750	652	697	662	844	499	994	754	728	619
RBM5	1868	1922	1347	1273	1319	1161	1407	870	2042	1366	1514	1070
MTMR7	153	148	88	77	109	79	127	67	94	79	71	64
SLC7A2	11512	11829	8147	8562	9220	9536	11305	7292	14726	10162	11590	8027
ARF5	1606	1776	937	1027	1042	944	1274	810	1426	1143	1147	938
SARM1	478	410	262	228	292	222	321	160	269	286	214	161
POLDIP2	3250	3321	1905	1988	2362	1955	2441	1758	3338	2503	2641	2128
PLXND1	3855	3145	1445	1731	2504	2305	2704	2242	3704	2145	3109	1944
AK2	1662	1754	996	1062	1116	834	1242	721	1682	1120	1140	1136
CD38	8	9	4	3	10	10	12	10	39	6	17	90
FKBP4	3326	3546	3587	2597	3530	3275	3476	2176	5381	3414	3202	3046
KDM1A	3380	3351	1932	2131	1947	1615	2422	1480	3274	2167	2249	1964
RBM6	5465	5622	4552	3681	4511	4020	4258	2525	5873	4152	4270	3109
CAMKK1	795	830	499	421	562	306	456	304	594	433	386	370
RECQL	891	827	552	579	581	532	766	450	904	677	704	664
VPS50	719	729	432	467	520	447	608	364	757	574	560	535
HSPB6	11	13	6	12	1	2	3	6	7	10	6	5
ARHGAP33	442	366	161	226	193	138	264	166	216	151	188	137
NDUFAB1	255	255	146	182	196	171	201	132	323	191	238	224
PDK4	221	421	320	268	351	139	232	120	340	285	197	192
SLC22A16	2	1	0	2	3	2	0	0	0	1	1	2
ZMYND10	20	37	13	17	18	7	19	16	17	26	14	16
ABCB5	37	46	17	23	20	11	31	9	23	19	16	8
ARX	0	7	2	0	4	4	3	1	1	0	1	0
SLC25A13	1003	900	538	587	780	540	783	522	1134	735	814	727
ST7	720	744	473	452	541	442	624	414	812	610	589	522
CDC27	853	759	472	561	654	501	642	472	819	611	770	597
SLC4A1	0	0	0	0	1	2	0	0	0	1	1	0
CALCR	7	21	7	11	9	7	9	2	18	21	3	4
HCCS	1412	1457	1017	1010	1105	1129	1244	924	1717	1191	1477	1166
DVL2	1273	1320	842	802	727	711	890	471	1024	781	821	577
PRSS22	379	403	336	222	284	484	283	249	486	266	523	312
UPF1	4654	4213	2826	2830	3232	2831	3447	2334	4850	3333	3353	2596
SKAP2	695	720	463	489	534	560	717	329	680	431	538	411
SLC25A5	7336	7676	4442	4186	4854	4386	6354	3631	7057	5569	5439	4675
MCUB	204	238	104	132	220	129	239	156	196	156	204	178
HOXA11	191	186	98	69	124	77	97	55	148	81	85	64
POLR2J	1222	1316	831	874	948	774	981	642	1250	936	943	681
DHX33	1937	1935	1327	1131	1139	1099	1226	934	1842	1142	1283	1023
MEOX1	0	0	0	0	0	0	0	1	0	0	0	0
THSD7A	2597	2673	1705	1109	2298	1308	2415	1063	2466	2057	1752	1116
LIG3	4068	4073	2593	2494	2760	2218	2960	1872	3864	2767	2816	2261
RPAP3	507	532	346	320	331	334	436	243	497	371	393	337
ACSM3	272	268	121	177	55	47	100	38	87	97	37	52
AC004381.6	406	447	196	260	294	156	368	204	387	291	300	231
CIAPIN1	255	214	133	135	174	120	192	140	263	171	218	173
SPPL2B	1513	1429	904	911	1055	805	1124	661	1267	971	927	728
FAM214B	2290	2519	1810	1213	1351	1486	1589	845	1694	1188	1428	851
COPZ2	29	21	13	15	16	12	9	7	15	20	18	19
PRKAR2B	8	11	3	3	10	1	5	5	2	6	2	9
MSL3	1612	1777	1091	977	1064	997	1234	663	1366	1094	1109	894
CREBBP	9260	9231	6388	5285	5353	5549	6419	3709	7781	5963	5809	3765
TSPOAP1	1552	1382	934	789	750	841	907	435	812	859	651	461
MPO	3	3	4	1	2	1	1	1	3	0	2	3
PON1	121	129	106	83	58	51	134	34	97	68	54	51
GCFC2	764	900	553	551	463	396	593	330	675	559	520	436
WDR54	915	951	714	567	574	573	780	283	709	640	461	387
CROT	138	139	87	78	85	77	105	77	119	104	101	69
ABCB4	286	325	154	197	88	63	170	55	136	112	78	80
KMT2E	3091	3238	2263	1882	1911	2194	2374	1232	3040	2252	1976	1628
RHBDD2	1352	1436	852	805	791	952	998	727	1194	845	1039	718
SOX8	1	0	1	4	1	0	0	0	6	0	0	0
IBTK	3331	3635	2269	2211	2462	2294	3015	1672	3702	2428	2794	2251
ZNF195	1033	1156	711	734	807	589	782	508	1067	702	848	707
MYCBP2	6879	6742	3781	4271	5014	4248	5708	3620	7292	5375	5660	4805
FBXL3	461	580	415	340	336	325	416	232	465	362	332	283
ITGAL	17	22	6	4	12	6	16	5	5	14	7	20
PDK2	939	971	459	666	439	422	604	256	627	629	376	304
ITGA3	11391	10780	9935	7809	5959	7663	7817	4767	11050	5244	7825	6124
ZFX	1437	1451	983	974	994	916	1170	685	1459	1078	1090	961
LAMP2	5871	6188	4890	4248	3543	5609	5436	3091	5779	4668	4969	3276
ITGA2B	38	36	23	33	16	16	21	13	25	26	13	7
ASB4	22	39	14	17	12	5	17	18	47	2	35	25
GDE1	725	748	444	503	658	708	663	443	798	661	703	516
C19orf60	334	291	157	218	252	181	215	163	296	175	207	228
CRLF1	43	60	40	25	49	17	27	28	27	16	16	23
OSBPL7	663	643	380	404	469	361	452	242	508	407	376	292
TMEM98	1079	1079	499	625	491	330	699	335	699	510	499	436
YBX2	187	210	95	133	198	127	148	91	123	151	110	72
KRT33A	1	0	0	1	0	0	0	0	0	0	0	0
MAP3K14	859	768	443	511	533	507	508	468	704	508	643	470
ABCC8	95	89	38	23	139	58	119	79	62	118	44	53
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132A	1943	2072	1346	1067	1446	1562	2054	1134	1926	1240	1406	1071
AP2B1	17324	17068	9930	10787	10450	8434	13057	7386	15770	11785	10101	8951
TAC1	0	0	0	0	0	0	0	0	0	0	1	0
ZNF263	1095	1146	813	653	669	629	771	438	919	777	669	580
CX3CL1	30	24	8	11	6	2	16	7	18	9	7	11
SPATA20	2454	2869	1486	1376	1269	1185	1652	904	1632	1421	1189	982
CACNA1G	2	3	4	3	6	6	0	0	5	1	0	2
TNFRSF12A	566	635	500	437	435	556	457	391	661	342	616	482
DLX6	78	81	42	36	43	22	46	18	79	33	32	15
MAP3K9	1503	1527	1064	875	1108	982	1137	819	1587	929	1198	938
RALA	583	616	471	382	501	468	608	316	637	480	479	441
BAIAP2L1	1960	2012	1728	1209	1516	1489	1616	935	2118	1302	1357	1111
KDM7A	1286	1396	1343	718	1119	1254	1158	481	1316	976	788	701
ETV1	1302	1198	588	596	677	431	914	450	767	614	507	361
AGK	713	726	461	423	470	385	511	333	629	543	549	392
ALDH3B1	9472	9194	4937	4848	4996	7759	5942	2738	4325	8075	3872	2935
TTC22	143	171	69	97	110	85	109	54	140	107	98	73
PHTF2	467	466	233	233	301	242	290	228	454	347	332	310
CCL26	4	6	7	6	0	12	5	4	10	3	7	2
FARP2	2359	2376	1330	1402	1534	1086	1716	970	1983	1465	1402	1142
USH1C	1337	1512	823	842	499	379	889	300	721	529	402	378
GGCT	821	844	390	578	578	345	562	449	796	613	737	596
DBF4	352	381	140	260	258	156	222	170	390	273	337	283
TBXA2R	9	6	10	8	11	9	6	10	7	15	15	7
IFRD1	453	444	438	300	358	456	381	313	564	385	547	429
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
COX10	538	563	344	327	414	321	433	258	589	390	386	322
GTF2IRD1	2188	2060	1519	1294	1243	1454	1417	921	1817	1244	1486	1102
PAF1	2151	2054	1290	1274	1283	1152	1530	987	1959	1244	1482	1077
VPS41	3638	3972	2876	2577	2699	2941	3314	1592	3683	3001	2826	2227
ARHGAP44	726	653	353	403	520	522	591	315	626	493	517	361
ELAC2	3928	3839	2017	2217	2494	1924	2982	2062	3974	2652	3024	2437
SCIN	2250	2270	1867	1657	2315	2450	2527	580	1162	11034	1273	776
ARSD	10097	10650	7233	6679	6302	7793	8852	4287	7662	7184	6366	4603
PNPLA4	473	576	357	282	334	366	482	250	421	370	376	286
MYH13	0	1	0	0	0	0	0	1	0	0	0	0
ADIPOR2	2177	2466	1748	1496	1601	1605	1887	1192	2372	1692	1791	1449
CDKL3	49	34	20	27	28	20	31	32	54	38	27	43
UPP2	1	1	2	1	1	1	2	0	1	0	0	1
PRSS21	126	160	88	76	114	91	183	50	114	113	68	63
MARK4	1031	1110	916	665	629	843	830	429	900	645	626	405
PROM1	1799	1557	565	614	1101	524	1105	871	1193	1362	885	781
CCDC124	987	1066	612	574	686	552	731	511	955	598	759	582
CEACAM21	0	0	0	0	1	0	0	0	0	0	0	0
PAFAH1B1	3747	3790	2507	2519	2798	2682	3084	1940	4054	2884	3261	2547
NOS2	10	3	0	0	17	4	6	2	3	1	12	2
DNAH9	6	14	4	3	11	5	4	4	5	6	2	1
KIAA0100	23039	21496	12146	13702	16577	12406	17455	11538	21537	16188	17196	12962
SLC13A2	5	8	2	2	18	3	11	3	2	16	3	3
GAS7	277	73	157	19	373	311	116	104	299	847	193	102
TRAPPC6A	555	585	293	309	330	263	421	185	366	322	269	229
MATK	2	3	1	1	0	0	2	0	2	0	1	0
CEACAM7	3	3	0	3	1	8	4	1	8	3	7	6
CD79B	4	1	2	4	0	3	1	1	5	0	1	1
SCN4A	4	10	5	4	10	10	9	7	5	7	10	1
ST7L	126	138	89	110	121	95	105	74	147	112	115	80
TKTL1	2	1	3	0	0	0	1	0	1	0	1	0
PAX6	4	1	4	0	3	1	3	3	2	1	1	0
RPUSD1	352	416	194	209	203	221	241	194	354	237	271	194
RHBDF1	1525	1557	1226	915	1100	1357	1205	949	1563	1106	1343	889
LUC7L	1477	1590	1135	945	1101	971	988	639	1522	1026	1115	977
CACNA2D2	157	178	108	43	235	127	229	73	165	180	151	91
BAIAP3	3357	3789	3868	2180	2058	2364	2381	824	2372	2093	1482	1316
TSR3	556	661	337	352	424	326	443	317	562	403	430	427
PIGQ	1315	1332	702	868	928	803	1013	650	1195	838	1025	733
CRAMP1	365	377	237	219	266	181	234	173	308	215	255	154
TEAD3	753	731	515	446	458	542	500	304	660	457	486	326
SELE	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC11	2563	2496	1432	1568	1856	1440	1922	1307	2562	1802	1974	1569
FMO3	4	9	2	0	1	0	0	0	2	4	0	3
MYLIP	1227	1338	1208	754	955	1034	1016	463	947	1127	764	499
NOX1	24	5	6	6	7	4	7	8	11	3	10	9
E2F2	283	220	90	153	235	76	167	165	255	177	252	141
PSMB1	6699	7507	4079	4259	4358	3781	5648	3143	6639	4913	5265	5122
SYN1	71	67	42	34	110	36	69	37	69	38	45	39
JARID2	1902	1994	1448	1138	1153	1280	1484	851	1777	1159	1219	941
CDKL5	953	1036	656	546	536	713	709	342	828	793	598	519
CAMK1G	12	15	5	7	16	9	13	5	7	4	4	9
CDK11A	2480	2470	2051	1711	1929	1890	1833	1290	2556	1673	1904	1441
NADK	2173	2086	1191	1262	1514	1235	1530	1141	2112	1459	1655	1311
TFAP2B	105	99	43	42	42	37	60	44	106	39	58	40
TFAP2D	38	32	17	11	21	7	10	2	23	7	12	16
DLEC1	979	955	601	531	386	486	525	214	499	482	400	219
CYTH3	503	520	314	340	465	405	454	306	478	399	431	307
ADAM22	297	325	158	195	248	174	246	134	270	192	199	162
SYPL1	625	666	418	455	487	468	563	359	674	470	556	454
CYB561	1476	1467	851	866	1114	917	1149	816	1269	1056	1104	849
SPAG9	4441	4659	3758	2766	3179	3417	3987	2070	4620	3190	3440	3011
CELSR3	7935	7735	5024	4508	5043	3944	5563	3474	6576	4669	4719	3693
AASS	734	677	536	541	498	412	552	281	556	471	434	436
PLEKHG6	513	493	386	205	356	387	408	224	372	390	345	300
SS18L2	90	74	57	67	76	48	51	55	92	74	64	65
MPND	628	584	362	356	432	341	449	271	498	389	396	301
MGST1	1179	1373	791	991	1086	1260	1070	842	1609	2035	1407	1067
CRY1	352	488	263	267	369	265	354	288	503	384	420	354
PGLYRP1	21	18	9	4	17	6	9	11	12	9	9	8
NFIX	165	187	85	85	101	68	87	97	198	92	98	144
ST3GAL1	1292	1209	1373	810	1994	2332	1952	1350	2773	2151	2242	1553
MMP25	254	228	159	136	162	131	140	107	195	153	106	100
IL32	193	250	223	128	896	904	1715	901	939	330	628	901
PKD1	5989	5240	3747	3188	3931	3430	3608	2368	4182	3508	3110	2477
MAPK8IP2	79	95	59	29	111	49	68	66	108	70	76	70
MED24	4287	4267	2641	2480	2388	2365	2911	1870	3625	2535	2775	1980
RHOBTB2	1255	1081	598	684	770	673	747	633	1061	878	986	612
HEATR5B	2777	2856	1862	1697	1741	1760	2133	1158	2476	2106	1954	1646
SEC62	1785	1874	1311	1256	1228	1189	1502	935	1804	1346	1357	1109
RPS20	2954	3255	2063	1891	1936	1790	2664	1222	2746	2351	1882	2044
CSDE1	4342	4499	2683	2628	2563	2553	3304	1678	3701	2847	2835	2197
UBE3C	7752	7676	4703	4858	6100	4825	6406	4144	8686	6115	6702	5915
REV3L	2504	2573	1454	1554	1834	1419	1905	1278	2409	1936	1989	1644
TENM1	1	4	1	0	7	2	7	2	2	10	3	3
PAX7	0	0	0	0	0	0	0	0	0	0	0	0
MASP2	116	91	46	55	56	44	65	40	70	54	48	32
IYD	55	71	23	38	29	18	37	15	20	18	21	14
FAM76A	79	83	55	27	54	38	48	57	60	55	63	59
TRAF3IP3	4	7	4	4	12	1	5	1	4	3	8	7
POMT2	975	992	598	643	736	659	768	521	832	652	738	508
VTA1	1958	2316	1483	1372	1456	1390	1901	921	2168	1597	1633	1292
MLXIPL	346	354	195	155	292	242	285	207	191	219	124	101
BAZ1B	3946	3552	1936	2460	2958	2031	2757	2096	4248	2769	3291	2827
RANBP9	2120	2209	1728	1364	1580	1761	1764	1248	2472	1653	2090	1537
ETV7	42	15	13	8	56	52	52	59	105	59	63	96
SPRTN	247	241	126	156	182	123	189	141	268	164	179	165
METTL13	1545	1533	926	909	962	771	1090	705	1539	961	1059	971
DYRK4	92	85	46	74	56	67	93	20	71	62	39	52
ZNF207	8684	9117	6078	5925	6047	5326	6955	4442	8812	6686	6451	5207
UQCRC1	3863	3909	2038	2196	2838	2494	3307	2166	3967	3215	3081	2616
STARD3NL	1062	1068	730	669	729	665	901	548	1016	773	827	610
CD9	2126	1917	1517	1423	1709	2570	1853	1299	2152	2020	2377	1665
HHATL	0	0	0	0	0	0	0	1	1	0	0	0
NCAPD2	9562	8886	4007	5927	5710	3392	6877	4351	8484	5495	5768	4432
IFFO1	20	19	13	8	17	6	14	12	20	10	9	5
GIPR	171	208	149	110	110	110	138	38	143	119	76	49
PHF7	88	68	65	41	56	49	55	45	63	57	56	34
SEMA3G	21	34	12	31	44	37	19	12	21	71	12	7
NISCH	2128	2187	1356	1184	1484	1391	1524	850	1941	1433	1371	993
STAB1	41	49	12	23	37	6	25	22	31	14	26	23
FUZ	12	28	9	10	6	18	21	7	13	13	9	10
SLC6A13	4	3	1	1	2	0	3	0	0	3	0	0
IDS	2537	2689	2086	1633	1767	2118	2166	1118	2101	1715	1686	1316
PRSS3	482	639	516	332	379	332	478	220	725	402	409	391
ZNF200	345	387	262	253	279	227	276	185	386	226	308	269
CD4	56	36	20	20	19	40	19	22	18	36	33	9
LRRC23	343	366	240	252	253	209	285	159	324	252	217	176
BTK	3	4	1	0	2	0	4	2	2	7	7	2
HFE	337	360	218	234	243	216	306	178	320	283	262	203
SCMH1	1292	1199	636	683	1034	646	970	659	1088	905	873	620
FYN	432	458	245	221	278	188	328	181	272	214	278	175
HIVEP2	5237	5693	4012	3061	3493	3680	4680	2457	4988	3657	3429	2649
FMO1	15	26	12	10	7	8	14	3	8	13	6	5
ELOA	2801	2727	1773	1600	1944	1621	2047	1349	2957	2166	2057	1677
LYPLA2	1003	1099	647	724	661	634	707	442	908	639	713	548
CLCN6	1579	1538	1235	935	864	934	1012	572	1179	828	861	641
MRC2	211	232	145	122	200	109	172	110	146	168	121	111
NME1-NME2	3	4	3	0	5	1	3	2	3	3	2	2
SLC6A7	6	4	3	1	6	4	4	6	5	4	7	3
TSPAN9	284	342	257	177	181	187	230	150	223	213	224	129
BTBD7	1276	1208	790	811	862	768	918	585	1223	939	966	731
APBA3	315	330	271	217	277	242	333	142	368	213	248	201
MKS1	623	680	375	416	371	308	488	281	537	383	390	288
ABHD5	608	619	449	438	708	943	596	436	870	844	825	554
ANOS1	31	31	14	5	94	44	23	38	39	308	28	12
AKAP8L	2574	2640	1816	1718	1732	1781	1990	1240	2477	1546	1935	1355
MBTD1	731	702	500	452	421	408	547	249	541	507	357	332
UTP18	1336	1380	736	820	917	703	979	621	1320	938	967	991
RNF216	5080	5411	3565	3012	3093	2982	3535	2102	4836	3140	3290	2443
TTC19	1609	1782	1075	1036	1135	1032	1238	731	1595	1237	1157	1009
PTBP1	6151	6036	4008	3710	3605	2852	4065	2663	5603	3549	3874	3005
DPF1	36	41	28	35	35	21	40	29	71	23	52	29
SYT7	1529	1734	1274	890	1328	1286	1819	658	1465	1139	964	635
LARS2	1055	925	599	644	794	618	829	651	1232	819	956	789
PIK3C2A	3391	3633	2995	2435	2188	2521	3052	1597	3531	2587	2598	2214
PLAUR	2106	2340	2831	1507	1403	2639	1769	1100	3009	1125	1876	1299
ANLN	8296	7644	2971	4797	5228	2991	6478	5169	9138	5407	7133	6282
WIZ	1758	1822	1104	1058	943	855	1182	809	1503	942	1124	778
RABGAP1	3406	3253	2254	2192	2365	2251	2503	1443	3434	2647	2484	1969
DCN	11	19	21	10	15	50	72	4	7	5	5	9
QPCTL	506	548	394	295	263	326	398	189	367	327	273	195
PPP5C	3802	3853	2189	2508	2347	2027	2781	1825	3607	2511	2774	2195
CEP68	897	927	602	484	512	505	643	326	602	587	424	358
MAP4K3	2048	2213	1504	1206	1658	1364	1831	1103	2304	1444	1831	1626
ZBTB32	119	131	70	86	99	58	94	52	70	92	84	61
TYROBP	0	0	0	0	0	0	0	0	0	0	0	0
TMEM159	234	234	160	156	108	101	160	75	170	174	114	98
GABRA3	1042	1059	607	606	530	537	702	367	673	676	570	402
BRCA1	2023	1605	524	1182	1560	600	1278	1121	1884	1178	1581	1387
ERCC1	943	1061	597	541	560	550	660	369	837	591	594	440
CD22	0	0	2	2	2	1	1	0	2	0	2	0
SEMA3B	2518	1916	2252	1657	2075	3348	2534	1270	2250	1399	2096	1364
MBTPS2	1655	1654	1049	1158	1137	1030	1383	889	1568	1241	1378	1056
PRICKLE3	1388	1390	986	785	944	863	1085	644	1342	847	873	660
LTF	1	0	0	0	2	0	0	0	0	0	0	0
EXTL3	1131	960	652	656	788	746	826	602	1220	705	1019	638
NR1H4	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL5	1381	1352	813	869	859	723	1153	717	1266	846	956	755
ALOX5	19	16	7	2	12	13	11	8	12	17	9	4
KDM5D	1	0	0	1	0	0	0	0	0	0	0	0
CALCOCO1	1528	1596	1186	988	866	1166	1088	456	1099	963	738	472
UBR7	1019	1064	523	685	714	505	792	549	1030	735	836	781
MAP4K5	1430	1510	1041	1002	1081	942	1167	649	1507	1139	1111	1053
EHD3	617	571	398	321	340	338	484	197	426	368	336	277
PSMC4	3860	4329	2902	2607	2849	2662	3272	2009	4315	2901	3325	2603
MAN2B2	2258	2174	1459	1429	1246	1563	1840	1065	1812	1289	1622	944
SLC7A14	1	3	1	0	0	0	4	0	2	1	1	0
CLDN11	51	63	24	4	37	23	41	23	23	21	14	14
SLC25A39	2930	2809	1580	1773	2382	1764	2447	1650	2857	2035	2352	1926
MVP	2979	3177	1969	1566	1328	1507	2018	842	1736	1221	1146	1073
NUB1	4466	4714	3575	2995	2946	3043	3919	1843	4249	3177	3008	2926
PGM3	1390	1491	1019	832	916	1071	1354	606	1435	988	958	788
RWDD2A	131	151	92	65	92	84	121	47	124	116	89	59
CLK1	1032	1126	1034	659	738	802	835	385	1074	835	650	551
POLR3B	652	586	294	438	535	381	543	396	707	577	622	506
ANGEL1	955	1124	566	725	605	534	694	461	957	740	644	542
RNF14	500	634	400	347	407	363	414	267	547	430	395	376
DNASE1L1	1078	1090	824	640	722	809	953	454	993	756	775	504
DDX11	2645	2503	1260	1564	1976	1174	1620	1344	2262	1535	1896	1572
HEBP1	420	376	281	248	201	276	318	138	302	246	227	213
GPRC5A	1905	2124	1944	1349	1358	1940	1659	945	2610	1082	1679	1176
MAMLD1	1310	1458	1284	1020	917	991	1450	831	1828	760	1122	799
CD6	44	49	22	24	39	14	37	18	43	23	23	17
TACC3	5248	4490	1740	3195	3067	1605	3425	2986	5164	2831	4106	3292
UFL1	1091	1070	660	701	635	606	828	457	939	735	695	611
POLA2	2225	1998	782	1280	1579	683	1550	1338	2289	1431	1979	1715
ZC3H3	1402	1426	1019	853	909	924	1022	623	1306	889	988	705
CAPN1	7309	7214	3992	3886	4322	4397	5128	3487	6098	5042	5208	3533
ACPP	202	201	122	112	270	217	239	152	329	388	169	202
MDH1	3050	3117	1662	1773	2111	1977	2767	1471	3048	2420	2296	2152
SLC30A9	2753	2914	1742	1840	1798	1880	2254	1207	2451	2136	2210	1714
MTMR11	2596	2940	1979	1723	1285	1213	2130	727	2059	1206	1045	1015
COX15	2029	2092	1326	1322	1276	1275	1577	914	1715	1552	1284	1167
CCDC88C	2534	2369	1250	1482	1820	1326	1500	1306	2384	1762	1928	1458
YAF2	140	154	99	81	87	89	122	67	129	76	96	72
ZMYND11	2806	2896	1535	1802	1889	1703	2237	1395	2682	2069	2150	1641
WAS	37	40	10	12	12	12	20	3	18	19	17	17
DPEP1	42	9	1	2	22	11	8	2	7	18	2	5
BID	1573	1486	916	821	1267	1048	1378	1003	1879	1278	1389	1375
MATR3	121	130	112	112	108	89	99	70	134	98	105	109
NPC1L1	1801	2271	974	1438	540	331	1153	490	882	793	418	576
XYLT2	2319	2189	1296	1303	1392	1408	1557	1104	1938	1525	1594	1050
RGPD5	7945	7884	6316	4889	6809	5922	6639	4340	8419	5801	6756	5815
STMN4	0	0	0	1	0	0	0	0	1	0	0	0
NUDCD3	3360	3289	2253	1959	2058	2056	2458	1497	3051	2161	2323	1703
ISL1	291	397	125	179	225	107	235	153	226	150	155	157
CHDH	349	378	212	228	254	186	341	201	377	262	294	223
IL20RA	1238	1247	950	758	1126	1556	1241	824	1800	1190	1653	1026
CLCA1	10	9	1	1	30	7	7	14	8	8	5	12
CLCA4	0	2	2	1	1	2	0	0	0	0	0	1
GLT8D1	1226	1364	856	912	869	988	1052	525	1043	1097	848	690
ATP2C1	3668	3690	2406	2540	2926	2611	3395	1898	4015	3101	3071	2611
IGF1	0	1	0	0	1	0	0	0	1	0	0	1
SLC38A5	242	357	254	162	82	110	129	57	129	86	72	89
RALBP1	2543	2493	1549	1544	1565	1494	1825	922	2099	1625	1590	1322
RUFY3	591	605	457	418	443	360	508	277	606	406	497	383
CNTN1	1164	1116	353	938	829	289	764	528	920	848	819	749
SLC11A1	94	89	59	35	55	48	68	17	53	55	27	26
WWTR1	614	593	417	351	313	359	405	241	521	361	359	241
AGPS	2204	2385	1494	1529	1671	1500	1969	1202	2559	1720	1898	1709
CXorf56	668	690	452	493	376	381	490	345	581	478	475	366
ATP1A2	0	3	0	0	1	2	3	2	1	7	1	1
TTC27	1162	1167	657	796	828	650	954	608	1139	1023	877	766
ZNF582	0	0	0	0	0	0	1	0	0	0	0	0
VSIG2	509	582	253	267	243	312	368	138	281	356	263	189
PHLDB1	993	941	574	485	439	389	497	331	497	406	406	304
MARCO	0	0	0	1	0	1	0	0	0	0	0	0
CYP24A1	4395	3717	5366	2251	3372	6185	3621	2734	3757	2431	4071	2453
PRDM11	429	430	284	282	229	194	256	177	304	228	226	167
SYT13	6691	7867	4884	4008	3970	2733	5979	2922	4830	3730	3349	3723
SNAI2	2	6	5	1	0	1	5	0	4	0	0	0
CD74	647	704	451	331	563	533	782	440	652	454	450	451
HGF	14540	16800	11387	8829	7383	9076	9512	4309	11241	8295	7441	5204
ZRANB1	1371	1354	861	860	916	947	1069	610	1274	1049	1005	845
NCDN	1022	1101	794	622	725	631	794	522	1112	761	824	591
ADGRA2	195	146	161	102	292	461	200	120	153	637	212	68
ZFP64	1871	1732	1069	1025	1102	881	1230	771	1444	1148	1074	839
MNAT1	1031	1193	713	721	752	710	888	489	1059	839	767	713
SAMD4A	2674	3037	3438	1624	1336	1885	3098	648	2496	997	945	1050
RUNX3	188	199	243	76	92	87	168	71	158	41	118	99
